Id,Name,Type,Industry,Phone,BillingCity,BillingCountry,OwnerId
001fj00000Wns6XAAR,Edge Communications,Customer - Direct,Electronics,(512) 757-6000,Austin,United States,005fj000009MHBVAA4
001fj00000Wns6YAAR,Burlington Textiles Corp of America,Customer - Direct,Banking,(336) 222-7000,Burlington,United States,005fj000009MHBVAA4
001fj00000Wns6ZAAR,Pyramid Construction Inc.,Customer - Channel,Construction,(014) 427-4427,Paris,France,005fj000009MHBVAA4
001fj00000Wns6aAAB,Dickenson plc,Customer - Channel,Consulting,(785) 241-6200,Lawrence,USA,005fj000009MHBVAA4
001fj00000Wns6bAAB,Grand Hotels & Resorts Ltd,Customer - Direct,Hospitality,(312) 596-1000,Chicago,United States,005fj000009MHBVAA4
001fj00000Wns6cAAB,United Oil & Gas Corp.,Customer - Direct,Energy,(212) 842-5500,New York,United States,005fj000009MHBVAA4
001fj00000Wns6dAAB,Express Logistics and Transport,Customer - Channel,Transportation,(503) 421-7800,Portland,United States,005fj000009MHBVAA4
001fj00000Wns6eAAB,University of Arizona,Customer - Direct,Education,(520) 773-9050,Tucson,United States,005fj000009MHBVAA4
001fj00000Wns6fAAB,"United Oil & Gas, UK",Customer - Direct,Energy,+44 191 4956203,,,005fj000009MHBVAA4
001fj00000Wns6gAAB,"United Oil & Gas, Singapore",Customer - Direct,Energy,(650) 450-8810,Singapore,,005fj000009MHBVAA4
001fj00000Wns6hAAB,GenePoint,Customer - Channel,Biotechnology,(650) 867-3450,Mountain View,United States,005fj000009MHBVAA4
001fj00000Wns6iAAB,sForce,,,(415) 901-7000,San Francisco,US,005fj000009MHBVAA4
001fj00000Wns6jAAB,Sample Account for Entitlements,,,,,,005fj000009MArcAAG
001fj00000gRKTuAAO,abcd,,,5765765765757,,,005fj000009ndW5AAI
001fj00000hSQq7AAG,Tesla,,,,,,005fj000009ndW5AAI
001fj00000hULciAAG,Microsoft,,,,,,005fj000009ndW5AAI
001fj00000hV4GHAA0,Meta,,,,,,005fj000009ndW5AAI
001fj00000i1DMuAAM,Softinnovas Inc.,,,99999999999,,,005fj000009ndW5AAI
001fj00000i1WisAAE,Salesforce Inc.,,,,,,005fj000009ndW5AAI
001fj00000iAttKAAS,Apple,,,,,,005fj000009ndW5AAI
001fj00000iBJ4QAAW,Samsung,,,,,,005fj000009ndW5AAI
001fj00000iiUsJAAU,Test1,,,,,,005fj000009ndW5AAI
001fj00000jQ5i7AAC,GENERAL ACCOUNT,,,,,,005fj000009ndW5AAI
001fj00000lRvC2AAK,Baku,,,,,,005fj000009ndW5AAI
001fj00000lRwMbAAK,Qusar,,,7657575765765,,,005fj000009ndW5AAI
001fj00000lXQQXAA4,acc1,,Technology,,,,005fj000009ndW5AAI
001fj00000lXQQYAA4,acc2,,,,,,005fj000009ndW5AAI
001fj00000lXQQZAA4,acc3,,,123456789,,,005fj000009ndW5AAI
001fj00000n4rPhAAI,Test account dml new 34,,,,,,005fj000009ndW5AAI
001fj00000n83qyAAA,Test account dml new 34,,,,,,005fj000009ndW5AAI
